Collision,Type,Distance,Time
0,no collision,20.01329642217752,30
0,no collision,0.2670435786192229,30
1,building_wall,39.26646826094657,8
1,vehicle,2.33869260083884,3
1,vehicle,47.286283321129304,10
1,building_wall,29.118678053840995,7
1,vehicle,56.52402457367134,17
1,building_wall,10.366055257094558,15
1,unknown,6.551012060721405,5
1,vehicle,0.36064330115914345,3
0,no collision,40.39133188826963,31
1,building_wall,12.704341589982505,13
0,no collision,46.766973919445945,31
1,building_wall,8.93678777272362,5
0,no collision,5.824791974107939,30
1,building_wall,14.723999739188002,6
1,unknown,25.247651543468237,7
1,building_wall,9.278489278629422,8
1,vehicle,28.483322754502296,12
0,no collision,7.291112767032246,31
1,building_wall,21.844725992588792,6
1,vehicle,0.30262737057637423,3
1,building_wall,28.503908953553037,17
1,vehicle,5.312705526128411,4
1,unknown,9.116374540288234,5
1,vehicle,12.834363918111194,5
1,building_wall,17.051715530666115,6
0,no collision,3.263172201710404,30
0,no collision,56.54816527771618,31
1,building_wall,8.71166516840458,8
1,building_wall,11.747381871507969,13
0,no collision,2.3524166171642946,31
1,unknown,30.72710516020743,9
1,vehicle,0.7711510816588998,3
1,building_wall,9.378683484581416,4
0,no collision,1.1136493116500787,31
1,unknown,14.876879635005025,5
1,building_wall,100.6738494373858,19
1,building_wall,32.358740265481174,10
1,building_wall,5.463234971044585,6
1,vehicle,17.75257792960474,7
1,building_wall,22.557740058422496,6
1,vehicle,74.12427997600753,14
1,building_wall,24.556827320251614,6
0,no collision,8.946459183032857,30
1,building_wall,22.76947496474895,10
1,pole,26.858742333100054,18
1,building_wall,12.379334917801316,5
1,building_wall,8.016038661764469,4
0,no collision,35.902638315928925,31
1,unknown,15.323581685450335,5
1,unknown,8.397599553107284,4
1,building_wall,49.907608814050036,15
0,no collision,30.149464544505463,30
1,pole,24.754955317042914,8
0,no collision,0.46907440056747873,30
1,building_wall,93.96767390683817,22
0,no collision,3.9172801330041693,31
1,building_wall,46.562048359301116,14
1,building_wall,29.54006213489629,9
1,building_wall,88.70873419997224,18
1,vehicle,57.42828169670247,12
0,no collision,20.342374755819037,30
1,unknown,53.671852286177455,10
1,vehicle,102.91647786760586,23
0,no collision,78.65031231718604,30
1,building_wall,24.99321904638782,10
1,building_wall,31.55432571390702,28
1,pole,21.01898414979223,9
1,building_wall,14.846716973930597,6
1,vehicle,15.791730706951057,9
0,no collision,4.186987503911951,31
1,unknown,16.57748565206566,28
0,no collision,48.95182995476716,30
0,no collision,20.378137134837743,30
1,building_wall,10.745108971679656,7
1,vehicle,29.24259067993262,6
1,building_wall,22.916428975056988,7
0,no collision,40.05280084761762,30
1,building_wall,16.891110978998768,5
1,building_wall,103.9522938842565,15
0,no collision,17.85763729557584,30
1,building_wall,173.51136389496241,23
1,unknown,9.203071807562083,5
1,building_wall,21.99606802746348,6
1,vehicle,1.0954380109906197,2
0,no collision,41.16209057495689,30
0,no collision,74.13968166213999,30
1,building_wall,43.56565887151373,9
0,no collision,13.043673817680883,30
1,building_wall,42.17580835172703,10
0,no collision,23.72074319175681,30
1,pole,53.713521183410194,10
0,no collision,65.21031207948545,30
1,building_wall,29.62939227007155,8
0,no collision,6.651982660063368,30
0,no collision,0.07987160826814943,30
1,vehicle,7.4728725110435334,4
0,no collision,0.14301516826344596,30
1,building_wall,15.191338238649223,14
